#curie_map:
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  sssom: "https://w3id.org/sssom/"
#  semapv: "https://w3id.org/semapv/vocab/"
#  dcterms: "http://purl.org/dc/terms/"
#
#mapping_set_id: https://w3id.org/valuesets/mappings/ai_risk_crosswalk
#mapping_set_title: AI Risk Taxonomy Crosswalk
#mapping_set_description: >-
#  Crosswalk between the AI risk taxonomies encoded in
#  src/valuesets/schema/ai_governance/ - Weidinger et al. (2022), the MIT AI Risk
#  Repository Domain Taxonomy, the content harm categories, and the Jigsaw
#  toxicity label set. Generated from mapping annotations declared inline on the
#  permissible values; do not edit by hand, edit the schemas and regenerate with
#  scripts/generate_ai_risk_sssom.py.
#license: https://creativecommons.org/publicdomain/zero/1.0/
#creator_id: https://github.com/linkml/valuesets
#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source	mapping_tool	confidence	subject_type	object_type	comment
https://w3id.org/valuesets/ai_governance/weidinger_lm_risks/:WeidingerLMRiskEnum.SOCIAL_STEREOTYPES_AND_UNFAIR_DISCRIMINATION	SOCIAL_STEREOTYPES_AND_UNFAIR_DISCRIMINATION	skos:closeMatch	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository/:MITAIRiskDomainEnum.UNFAIR_DISCRIMINATION_AND_MISREPRESENTATION	Unfair discrimination and misrepresentation	semapv:ManualMappingCuration	https://w3id.org/valuesets/ai_governance/weidinger_lm_risks	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository	linkml-valuesets		enum_value	enum_value	MIT AI Risk Repository subdomain 1.1
https://w3id.org/valuesets/ai_governance/weidinger_lm_risks/:WeidingerLMRiskEnum.HATE_SPEECH_AND_OFFENSIVE_LANGUAGE	HATE_SPEECH_AND_OFFENSIVE_LANGUAGE	skos:narrowMatch	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository/:MITAIRiskDomainEnum.EXPOSURE_TO_TOXIC_CONTENT	Exposure to toxic content	semapv:ManualMappingCuration	https://w3id.org/valuesets/ai_governance/weidinger_lm_risks	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository	linkml-valuesets		enum_value	enum_value	MIT AI Risk Repository subdomain 1.2
https://w3id.org/valuesets/ai_governance/weidinger_lm_risks/:WeidingerLMRiskEnum.EXCLUSIONARY_NORMS	EXCLUSIONARY_NORMS	skos:relatedMatch	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository/:MITAIRiskDomainEnum.UNFAIR_DISCRIMINATION_AND_MISREPRESENTATION	Unfair discrimination and misrepresentation	semapv:ManualMappingCuration	https://w3id.org/valuesets/ai_governance/weidinger_lm_risks	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository	linkml-valuesets		enum_value	enum_value	MIT AI Risk Repository subdomain 1.1
https://w3id.org/valuesets/ai_governance/weidinger_lm_risks/:WeidingerLMRiskEnum.LOWER_PERFORMANCE_FOR_SOME_LANGUAGES_AND_SOCIAL_GROUPS	LOWER_PERFORMANCE_FOR_SOME_LANGUAGES_AND_SOCIAL_GROUPS	skos:closeMatch	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository/:MITAIRiskDomainEnum.UNEQUAL_PERFORMANCE_ACROSS_GROUPS	Unequal performance across groups	semapv:ManualMappingCuration	https://w3id.org/valuesets/ai_governance/weidinger_lm_risks	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository	linkml-valuesets		enum_value	enum_value	MIT AI Risk Repository subdomain 1.3
https://w3id.org/valuesets/ai_governance/weidinger_lm_risks/:WeidingerLMRiskEnum.COMPROMISING_PRIVACY_BY_LEAKING_SENSITIVE_INFORMATION	COMPROMISING_PRIVACY_BY_LEAKING_SENSITIVE_INFORMATION	skos:narrowMatch	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository/:MITAIRiskDomainEnum.COMPROMISE_OF_PRIVACY	Compromise of privacy by obtaining, leaking, or correctly inferring sensitive information	semapv:ManualMappingCuration	https://w3id.org/valuesets/ai_governance/weidinger_lm_risks	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository	linkml-valuesets		enum_value	enum_value	MIT AI Risk Repository subdomain 2.1
https://w3id.org/valuesets/ai_governance/weidinger_lm_risks/:WeidingerLMRiskEnum.COMPROMISING_PRIVACY_OR_SECURITY_BY_CORRECTLY_INFERRING_SENSITIVE_INFORMATION	COMPROMISING_PRIVACY_OR_SECURITY_BY_CORRECTLY_INFERRING_SENSITIVE_INFORMATION	skos:narrowMatch	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository/:MITAIRiskDomainEnum.COMPROMISE_OF_PRIVACY	Compromise of privacy by obtaining, leaking, or correctly inferring sensitive information	semapv:ManualMappingCuration	https://w3id.org/valuesets/ai_governance/weidinger_lm_risks	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository	linkml-valuesets		enum_value	enum_value	MIT AI Risk Repository subdomain 2.1
https://w3id.org/valuesets/ai_governance/weidinger_lm_risks/:WeidingerLMRiskEnum.DISSEMINATING_FALSE_OR_MISLEADING_INFORMATION	DISSEMINATING_FALSE_OR_MISLEADING_INFORMATION	skos:closeMatch	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository/:MITAIRiskDomainEnum.FALSE_OR_MISLEADING_INFORMATION	False or misleading information	semapv:ManualMappingCuration	https://w3id.org/valuesets/ai_governance/weidinger_lm_risks	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository	linkml-valuesets		enum_value	enum_value	MIT AI Risk Repository subdomain 3.1
https://w3id.org/valuesets/ai_governance/weidinger_lm_risks/:WeidingerLMRiskEnum.CAUSING_MATERIAL_HARM_BY_DISSEMINATING_FALSE_OR_POOR_INFORMATION	CAUSING_MATERIAL_HARM_BY_DISSEMINATING_FALSE_OR_POOR_INFORMATION	skos:relatedMatch	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository/:MITAIRiskDomainEnum.FALSE_OR_MISLEADING_INFORMATION	False or misleading information	semapv:ManualMappingCuration	https://w3id.org/valuesets/ai_governance/weidinger_lm_risks	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository	linkml-valuesets		enum_value	enum_value	MIT AI Risk Repository subdomain 3.1
https://w3id.org/valuesets/ai_governance/weidinger_lm_risks/:WeidingerLMRiskEnum.MAKING_DISINFORMATION_CHEAPER_AND_MORE_EFFECTIVE	MAKING_DISINFORMATION_CHEAPER_AND_MORE_EFFECTIVE	skos:narrowMatch	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository/:MITAIRiskDomainEnum.DISINFORMATION_SURVEILLANCE_AND_INFLUENCE_AT_SCALE	Disinformation, surveillance, and influence at scale	semapv:ManualMappingCuration	https://w3id.org/valuesets/ai_governance/weidinger_lm_risks	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository	linkml-valuesets		enum_value	enum_value	MIT AI Risk Repository subdomain 4.1
https://w3id.org/valuesets/ai_governance/weidinger_lm_risks/:WeidingerLMRiskEnum.ASSISTING_CODE_GENERATION_FOR_CYBER_SECURITY_THREATS	ASSISTING_CODE_GENERATION_FOR_CYBER_SECURITY_THREATS	skos:narrowMatch	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository/:MITAIRiskDomainEnum.CYBERATTACKS_WEAPON_DEVELOPMENT_OR_USE_AND_MASS_HARM	Cyberattacks, weapon development or use, and mass harm	semapv:ManualMappingCuration	https://w3id.org/valuesets/ai_governance/weidinger_lm_risks	https://w3id.org/valuesets/ai_governance/mit_ai_risk_repository	linkml-valuesets		enum_value	enum_value	MIT AI Risk Repository subdomain 4.2
